Date,Non indexées,Dans l'index,Impressions
2026-04-17,4,0,0
2026-04-18,4,0,0
2026-04-19,4,0,0
2026-04-20,4,0,9
2026-04-21,4,0,3
2026-04-22,4,0,3
2026-04-23,4,0,0
2026-04-24,4,0,2
2026-04-25,4,0,0
2026-04-26,4,0,0
2026-04-27,4,0,2
2026-04-28,4,0,2
2026-04-29,4,0,2
2026-04-30,4,0,4
2026-05-01,4,0,0
2026-05-02,4,0,0
2026-05-03,4,0,0
2026-05-04,4,0,1
2026-05-05,4,0,3
2026-05-06,4,0,4
2026-05-07,4,0,2
2026-05-08,4,0,2
2026-05-09,4,0,1
2026-05-10,4,0,1
2026-05-11,4,0,0
2026-05-12,4,0,5
2026-05-13,4,0,3
2026-05-14,4,0,3
2026-05-15,4,0,5
2026-05-16,4,0,1
2026-05-17,4,0,0
2026-05-18,4,0,9
2026-05-19,6,0,3
2026-05-20,6,0,2
2026-05-21,6,0,3
2026-05-22,6,0,6
2026-05-23,5,0,1
2026-05-24,5,0,1
2026-05-25,5,0,2
2026-05-26,5,0,3
2026-05-27,5,0,3
2026-05-28,5,0,2
2026-05-29,5,0,10
2026-05-30,5,0,0
2026-05-31,5,0,0
2026-06-01,5,0,5
2026-06-02,47,10,3
2026-06-03,47,10,1
2026-06-04,47,10,18
2026-06-05,47,10,33
2026-06-06,44,14,22
2026-06-07,44,14,18
2026-06-08,44,14,44
2026-06-09,43,16,43
2026-06-10,43,16,29
2026-06-11,43,16,22
2026-06-12,43,16,25
2026-06-13,66,54,39
2026-06-14,66,54,22
2026-06-15,66,54,31
2026-06-16,66,54,36
2026-06-17,66,54,44
2026-06-18,66,54,35
2026-06-19,66,54,31
2026-06-20,66,54,19
2026-06-21,66,54,26
2026-06-22,66,54,59
2026-06-23,66,54,46
2026-06-24,66,54,47
2026-06-25,66,54,58
2026-06-26,66,54,34
2026-06-27,66,54,35
2026-06-28,66,54,51
2026-06-29,66,54,47
2026-06-30,66,54,52
2026-07-01,72,56,53
2026-07-02,72,56,32
2026-07-03,72,56,57
2026-07-04,72,56,46
2026-07-05,72,56,36
2026-07-06,72,56,60
2026-07-07,72,56,65
2026-07-08,72,56,76
2026-07-09,72,56,57
2026-07-10,72,56,51